GEOPOINT,GEOID,NAME,NAMELSAD,STUSAB
40.1400890018; -88.1991706674,17019,Champaign,Champaign County,IL
36.1210986495; -95.9414756124,40143,Tulsa,Tulsa County,OK
39.7659588693; -81.4555606055,39121,Noble,Noble County,OH
41.4839220534; -91.1127562492,19139,Muscatine,Muscatine County,IA
38.9240617743; -80.8570836304,54021,Gilmer,Gilmer County,WV
34.2799867489; -88.3613228409,28057,Itawamba,Itawamba County,MS
44.0272987421; -69.015547485,23013,Knox,Knox County,ME
37.2006875346; -106.191627951,8021,Conejos,Conejos County,CO
30.4634147938; -91.3127466677,22121,West Baton Rouge,West Baton Rouge Parish,LA
36.7018432696; -76.6340460041,51800,Suffolk,Suffolk city,VA
39.6017802193; -94.4045940298,29049,Clinton,Clinton County,MO
40.2993893945; -83.3715754728,39159,Union,Union County,OH
32.3644009947; -91.2425796995,22065,Madison,Madison Parish,LA
42.59926192; -97.252401002,31027,Cedar,Cedar County,NE
39.8931762515; -94.404709492,29063,DeKalb,DeKalb County,MO
38.7478811299; -77.4838087142,51683,Manassas,Manassas city,VA
18.3686639331; -65.7121531688,72089,Luquillo,Luquillo Municipio,PR
41.6846965026; -80.1062776173,42039,Crawford,Crawford County,PA
36.2171519061; -83.2666627121,47063,Hamblen,Hamblen County,TN
33.6076426857; -102.343197183,48219,Hockley,Hockley County,TX
32.1623552365; -94.3056398565,48365,Panola,Panola County,TX
38.9532912889; -96.2050045391,20197,Wabaunsee,Wabaunsee County,KS
39.4688295112; -74.6337304316,34001,Atlantic,Atlantic County,NJ
44.1106889273; -87.5123716853,55071,Manitowoc,Manitowoc County,WI
38.0805527548; -106.281555562,8109,Saguache,Saguache County,CO
33.7855310388; -98.2085033047,48077,Clay,Clay County,TX
29.4567333341; -97.4925237545,48177,Gonzales,Gonzales County,TX
30.1477719789; -84.3756074885,12129,Wakulla,Wakulla County,FL
29.0634475051; -81.1485743573,12127,Volusia,Volusia County,FL
34.4858849277; -94.2280604373,5113,Polk,Polk County,AR
40.8292399575; -85.4881722777,18069,Huntington,Huntington County,IN
41.3248489608; -86.2617612923,18099,Marshall,Marshall County,IN
43.6739971693; -92.0901672654,27045,Fillmore,Fillmore County,MN
44.1658484298; -70.206444997,23001,Androscoggin,Androscoggin County,ME
42.6864089427; -121.650120994,41035,Klamath,Klamath County,OR
43.4638832499; -76.2086867847,36075,Oswego,Oswego County,NY
36.9338705281; -82.0953569204,51167,Russell,Russell County,VA
38.8184535854; -77.0862060584,51510,Alexandria,Alexandria city,VA
38.4493208547; -121.344253814,6067,Sacramento,Sacramento County,CA
38.204606803; -120.554132098,6009,Calaveras,Calaveras County,CA
43.940666315; -71.8207197904,33009,Grafton,Grafton County,NH
35.8032506791; -87.4733082278,47081,Hickman,Hickman County,TN
42.6337635679; -75.0326059513,36077,Otsego,Otsego County,NY
38.5188144389; -84.0520241975,21201,Robertson,Robertson County,KY
36.0509841883; -83.4463116121,47089,Jefferson,Jefferson County,TN
38.4021560325; -108.269451135,8085,Montrose,Montrose County,CO
37.5294416201; -77.475587955,51760,Richmond,Richmond city,VA
30.2067729534; -92.0638821244,22055,Lafayette,Lafayette Parish,LA
33.2334606021; -98.1724585828,48237,Jack,Jack County,TX
39.5628541642; -77.0225227247,24013,Carroll,Carroll County,MD
47.7764366569; -123.576473816,53031,Jefferson,Jefferson County,WA
47.4541905541; -97.1615544591,38097,Traill,Traill County,ND
39.3524140547; -93.9898835294,29177,Ray,Ray County,MO
32.8797230696; -90.8132149241,28125,Sharkey,Sharkey County,MS
37.1228911509; -80.5587490523,51750,Radford,Radford city,VA
18.4802902221; -67.1447198452,72005,Aguadilla,Aguadilla Municipio,PR
39.3128100483; -86.8376542268,18119,Owen,Owen County,IN
46.2974982725; -117.907842238,53013,Columbia,Columbia County,WA
38.482169359; -100.906858956,20171,Scott,Scott County,KS
34.7794159964; -85.9993005443,1071,Jackson,Jackson County,AL
37.8311453235; -83.823774583,21197,Powell,Powell County,KY
39.6914804501; -83.8898867514,39057,Greene,Greene County,OH
29.583050959; -97.9485847382,48187,Guadalupe,Guadalupe County,TX
48.162897037; -122.575262954,53029,Island,Island County,WA
40.7532343253; -91.9499782974,19177,Van Buren,Van Buren County,IA
41.0580656247; -75.3395154572,42089,Monroe,Monroe County,PA
35.9199743544; -93.2178669264,5101,Newton,Newton County,AR
48.3000250033; -116.601061373,16017,Bonner,Bonner County,ID
34.9036574214; -85.1382470065,13047,Catoosa,Catoosa County,GA
43.2165580516; -112.398078523,16011,Bingham,Bingham County,ID
48.3436752481; -103.48018589,38105,Williams,Williams County,ND
44.4144805031; -98.2781096129,46005,Beadle,Beadle County,SD
47.0235840907; -103.376304933,38007,Billings,Billings County,ND
33.5908249244; -83.4923823005,13211,Morgan,Morgan County,GA
46.3324239679; -111.495486653,30007,Broadwater,Broadwater County,MT
37.2804061385; -113.504711207,49053,Washington,Washington County,UT
33.9617197861; -84.0236132972,13135,Gwinnett,Gwinnett County,GA
48.5323201664; -117.274001478,53051,Pend Oreille,Pend Oreille County,WA
